"page_id","page_title","page_is_redirect","page_len","wikidata_numeric_id","views"
"58086067","Carter Reum","1","10845","Q56043532","61833"
"46426209","Kenji Yamada (judoka)","0","4489","Q20816107","180"
"16945761","Tony Bellew","0","68559","Q4083370","33854"
"4074207","David Edwards (footballer, born 1986)","1","39344","Q934766","2826"
"67648315","Mark Strong (politician)","0","2313","Q106993443","163"
"75824","Kevin Smith (New Zealand actor)","1","11003","Q381963","10750"
"62595845","Julia Fox","1","23879","Q79055374","478"
"25537408","Carlos Sainz Jr.","1","86607","Q544856","94755"
"21963520","Kevin Bacon (politician)","1","8782","Q6395763","512"
"444493","Michelle Phillips","1","54566","Q235346","114470"
"333160","Elizabeth McGovern","1","37736","Q233868","65528"
"52552834","Justin Hurwitz","0","12247","Q21012756","9596"
"58606828","Christopher McVey","0","4042","Q56810153","1970"
"25967059","Joachim Gauck","1","62442","Q2538","7009"
"363002","Sandra Oh","1","46372","Q40337","93662"
"355829","Uschi Glas","1","7452","Q69669","1865"
"1439374","Eva Habermann","0","6895","Q66742","3111"
"18938105","Roland Kaiser","1","2495","Q69263","2280"
"459057","Phil Collinson","0","8411","Q3378750","1421"
"20844642","Khalid A. Al-Falih","1","19209","Q6399442","3702"
"63389266","Marie-Agnes Strack-Zimmermann","0","9034","Q15391841","3054"
"45115083","Tinashe Mhora","0","6003","Q19571635","48"
"56047645","Donald B. Dingwell","1","6393","Q48977217","159"
"2481680","Dominic Purcell","1","16578","Q205278","40079"
"59172499","Claudia Letizia","0","4811","Q59248252","243"
"476044","Tilda Swinton","1","45550","Q200534","150770"
"56738396","Peter Gottfried Kremsner","0","14236","Q50345544","102"
"170779","Hugh Grant","1","129760","Q163286","146665"
"995445","Emilio Estefan","1","26786","Q838508","19439"
"4474666","Peter Obi","1","64371","Q3510850","69100"
"8578592","Harry Thomas (footballer)","0","4598","Q1586858","66"
"2714316","Kevin Hart (poet)","0","18066","Q1740168","304"
"","Sienna_Mozzi","","","",""
"11983273","Aishwarya Rai Bachchan","1","147923","Q47059","535097"
"15453189","Marina Núñez del Prado","1","20184","Q6763879","363"
"43058534","Franziska Knuppe","0","2570","Q1450141","308"
"13241556","Jorge García Montes","1","3726","Q6278041","250"
"18723540","Anthony Edwards (rower)","1","16442","Q573220","287"
"315569","Neil Jordan","1","22981","Q55428","17603"
"54710274","Hanson Milde-Meissner","1","2845","Q34169199","80"
"24196092","Antonio Vera Ramírez","1","3337","Q6685429","77"
"26518786","Eli Cohen (footballer, born 1961)","1","6366","Q5360193","72"
"47626306","William Johnston (novelist)","1","22378","Q20984479","258"
"39969708","Thani bin Hamad bin Khalifa Al-Thani","0","84","Q29617798","148"
"26405711","Ciara Bravo","0","9422","Q272915","17521"
"62697874","Phil Collins (politician)","0","18215","Q85793069","1462"
"6391872","Hugh Aynesworth","0","24072","Q16091712","2506"
"2568262","Thomas Helmer","1","11592","Q508467","1654"
"","Oliver_Scott","","","",""
"37928349","David Boyd (cricketer)","0","6357","Q5231621","53"
"11885871","Felipe Melo","1","44023","Q204450","6939"
"22347867","David Arnold (American football)","0","4361","Q5230855","186"
"27962775","Karamani Mehmet Pasha","1","6033","Q3124772","301"
"63434071","Johann Saathoff","0","5550","Q15813144","288"
"6191053","Jared Kushner","1","202919","Q13628723","108284"
"8902064","Christoph Maria Herbst","1","6257","Q104670","2002"
"7378489","Kathy Kreiner","1","19523","Q437402","286"
"56335329","Brandon Maxwell (ice hockey)","0","12915","Q23766302","394"
"5299587","Tim Burton (musician)","1","3987","Q7803257","1416"
"5228682","Yvette Lee Bowser","1","9762","Q8062373","3562"
"32624267","Charles III de Créquy","1","5233","Q1064954","139"
"3747","Bill Gates","1","175774","Q5284","411624"
"81795","David Byrne","1","63355","Q336640","94133"
"464271","Nina Hagen","1","28636","Q159099","21835"
"603429","Henry Lowry-Corry (1803–1873)","1","7461","Q333378","231"
"46492321","Eric Finkelstein","1","5175","Q19877926","151"
"30871798","Magdalena Tul","0","5754","Q237078","300"
"2476333","Brandi Carlile","1","84257","Q164060","180540"
"559753","Michael D. Higgins","1","91024","Q57276","55299"
"8618","David Beckham","1","248573","Q10520","424149"
"20675980","James Murphy (Irish politician)","0","3028","Q6140175","77"
"1200178","Jaime Sabines","1","5992","Q429554","553"
"36166791","Masako Sen","1","6429","Q6782487","1581"
"55314327","Adele Green","0","11026","Q40673023","135"
"49204033","John Roberts (footballer, born 1881)","0","1447","Q23621342","30"
"436833","Tommy Hilfiger","1","61812","Q136687","71797"
"4683319","Günther Beck von Mannagetta und Lerchenau","1","3317","Q78986","99"
"53230546","Daniel Machek","1","1647","Q11774226","39"
"","Sebastian_Steudtner","","","",""
"37133773","Pattie Mallette","1","13746","Q2368906","18507"
"59976358","Charles Binipom Bintin","0","4403","Q61694567","69"
"164950","Taylor Caldwell","1","17098","Q445429","2544"
"6094699","Khaled Massad","1","7898","Q2618153","296"
"43509575","Terry Reintke","1","12012","Q1386500","1935"
